site,block,designation,collector,date,order,family,tribe,sampling,color
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S2,D8S2,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S2,D8S2,,9.11.19,Diptera,Calliphoridae,,1,yellow
D8,S3,D8S3,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S3,D8S3,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S4,D8S4,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S5,D8S5,,6.12.19,Diptera,Calliphoridae,,1,yellow
D8,S5,D8S5,,6.12.19,Diptera,Calliphoridae,,1,white
D8,S5,D8S5,,6.12.19,Diptera,Calliphoridae,,1,white
D9,S2,D9S2,,6.4.19,Diptera,Calliphoridae,,1,white
D7,S1,D7S1,,6.26.19,Diptera,Cecidomyiidae,,1,yellow
D7,S5,D7S5,,6.26.19,Diptera,Chironomidae,,1,yellow
D7,S2,D7S2,,6.26.19,Diptera,Chloropidae,,1,white
D7,S2,D7S2,,6.26.19,Diptera,Chloropidae,,1,blue
D7,S3,D7S3,,6.26.19,Diptera,Chloropidae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Chloropidae,,1,white
D10,S3,D10S3,,6.17.19,Diptera,Dolichopodidae,,1,blue
D10,S4,D10S4,,6.17.19,Diptera,Dolichopodidae,,1,yellow
D10,S4,D10S4,,6.17.19,Diptera,Dolichopodidae,,1,yellow
D7,S1,D7S1,,6.26.19,Diptera,Dolichopodidae,,1,white
D7,S1,D7S1,,6.26.19,Diptera,Dolichopodidae,,1,yellow
D7,S2,D7S2,,6.26.19,Diptera,Dolichopodidae,,1,yellow
D8,S1,D8S1,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S2,D8S2,,6.12.19,Diptera,Dolichopodidae,,1,white
D8,S2,D8S2,,9.11.19,Diptera,Dolichopodidae,,2,yellow
D8,S3,D8S3,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S3,D8S3,,9.11.19,Diptera,Dolichopodidae,,2,blue
D8,S4,D8S4,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D8,S5,D8S5,,6.12.19,Diptera,Dolichopodidae,,1,yellow
D9,S3,D9S3,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S3,D9S3,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S3,D9S3,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S3,D9S3,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S5,D9S5,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S5,D9S5,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S5,D9S5,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S5,D9S5,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D9,S5,D9S5,,6.4.19,Diptera,Dolichopodidae,,1,yellow
D7,S2,D7S2,,6.26.19,Diptera,Drosophilidae,,1,yellow
D10,S2,D10S2,,6.17.19,Diptera,Faniidae,,1,yellow
D7,S1,D7S1,,6.26.19,Diptera,Faniidae,,1,blue
D7,S4,D7S4,,6.26.19,Diptera,Faniidae,,1,white
D7,S4,D7S4,,6.26.19,Diptera,Faniidae,,1,yellow
D10,S3,D10S3,,6.17.19,Diptera,Heliomyzidae,,1,white
D8,S4,D8S4,,6.12.19,Diptera,Heliomyzidae,,1,yellow
D8,S2,D8S2,,9.11.19,Diptera,Muscidae,,2,yellow
D8,S2,D8S2,,9.11.19,Diptera,Muscidae,,2,white
D10,S1,D10S1,,6.17.19,Diptera,Phoridae,,1,yellow
D10,S4,D10S4,,6.17.19,Diptera,Phoridae,,1,yellow
D7,S2,D7S2,,6.26.19,Diptera,Phoridae,,1,yellow
D7,S4,D7S4,,6.26.19,Diptera,Phoridae,,1,blue
D7,S2,D7S2,,6.26.19,Diptera,Psychodidae,,1,white
D10,S1,D10S1,,6.17.19,Diptera,Sciaridae,,1,blue
D10,S3,D10S3,,6.17.19,Diptera,Sciaridae,,1,white
D10,S4,D10S4,,6.17.19,Diptera,Sciaridae,,1,blue
D10,S5,D10S5,,6.17.19,Diptera,Sciaridae,,1,yellow
D10,S5,D10S5,,6.17.19,Diptera,Sciaridae,,1,blue
D10,S5,D10S5,,6.17.19,Diptera,Sciaridae,,1,blue
D7,S1,D7S1,,6.26.19,Diptera,Sciaridae,,1,yellow
D7,S2,D7S2,,6.26.19,Diptera,Sciaridae,,1,yellow
D7,S2,D7S2,,6.26.19,Diptera,Sciaridae,,1,blue
D7,S2,D7S2,,6.26.19,Diptera,Sciaridae,,1,blue
D8,S2,D8S2,,6.12.19,Diptera,Sciaridae,,1,blue
D8,S3,D8S3,,6.12.19,Diptera,Sciaridae,,1,white
D8,S3,D8S3,,6.12.19,Diptera,Sciaridae,,1,white
D8,S3,D8S3,,6.12.19,Diptera,Sciaridae,,1,yellow
D8,S3,D8S3,,6.12.19,Diptera,Sciaridae,,1,blue
D8,S4,D8S4,,6.12.19,Diptera,Sciaridae,,1,yellow
D8,S4,D8S4,,6.12.19,Diptera,Sciaridae,,1,yellow
D8,S4,D8S4,,6.12.19,Diptera,Sciaridae,,1,yellow
D8,S4,D8S4,,6.12.19,Diptera,Sciaridae,,1,yellow
D8,S5,D8S5,,6.12.19,Diptera,Sciaridae,,1,white
D8,S5,D8S5,,6.12.19,Diptera,Sciaridae,,1,white
D8,S5,D8S5,,6.12.19,Diptera,Sciaridae,,1,white
D8,S5,D8S5,,6.12.19,Diptera,Sciaridae,,1,white
D8,S5,D8S5,,6.12.19,Diptera,Sciaridae,,1,white
D8,S5,D8S5,,6.12.19,Diptera,Sciaridae,,1,white
D7,S1,D7S1,,6.26.19,Diptera,Stratiomyidae,,1,yellow
D7,S2,D7S2,,6.26.19,Diptera,Stratiomyidae,,1,yellow
D10,S5,D10S5,,6.17.19,Diptera,Syrphidae,,1,yellow
D8,S2,D8S2,,9.11.19,Diptera,Ulidiidae,,2,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S1,D10S1,,6.17.19,Hemiptera,Aphididae,,1,white
D10,S2,D10S2,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S2,D10S2,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,white
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Aphididae,,1,blue
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S4,D10S4,,6.17.19,Hemiptera,Aphididae,,1,white
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,yellow
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,white
D10,S5,D10S5,,6.17.19,Hemiptera,Aphididae,,1,blue
D7,S2,D7S2,,6.26.19,Hemiptera,Aphididae,,1,yellow
D7,S5,D7S5,,6.26.19,Hemiptera,Aphididae,,1,yellow
D8,S1,D8S1,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S1,D8S1,,9.11.19,Hemiptera,Aphididae,,2,yellow
D8,S1,D8S1,,9.11.19,Hemiptera,Aphididae,,2,yellow
D8,S1,D8S1,,9.11.19,Hemiptera,Aphididae,,2,yellow
D8,S1,D8S1,,9.11.19,Hemiptera,Aphididae,,2,yellow
D8,S2,D8S2,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S2,D8S2,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S2,D8S2,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S2,D8S2,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S2,D8S2,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S2,D8S2,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S2,D8S2,,9.11.19,Hemiptera,Aphididae,,2,yellow
D8,S3,D8S3,,6.12.19,Hemiptera,Aphididae,,1,blue
D8,S3,D8S3,,9.11.19,Hemiptera,Aphididae,,2,yellow
D8,S5,D8S5,,6.12.19,Hemiptera,Aphididae,,1,yellow
D8,S5,D8S5,,6.12.19,Hemiptera,Aphididae,,1,blue
D9,S2,D9S2,,6.4.19,Hemiptera,Aphididae,,1,blue
D9,S2,D9S2,,6.4.19,Hemiptera,Aphididae,,1,blue
D9,S3,D9S3,,6.4.19,Hemiptera,Aphididae,,1,yellow
D10,S3,D10S3,,6.17.19,Hemiptera,Cicadellidae,,1,white
D7,S3,D7S3,,6.26.19,Hemiptera,Cicadellidae,,1,yellow
D10,S2,D10S2,,6.17.19,Hemiptera,Miridae,,1,white
D9,S1,D9S1,,6.4.19,Hemiptera,Miridae,,1,yellow
D9,S4,D9S4,,6.4.19,Hemiptera,Miridae,,1,white
D9,S4,D9S4,,6.4.19,Hemiptera,Miridae,,1,white
D9,S4,D9S4,,6.4.19,Hemiptera,Miridae,,1,white
D9,S4,D9S4,,6.4.19,Hemiptera,Miridae,,1,white
D9,S4,D9S4,,6.4.19,Hemiptera,Miridae,,1,white
D9,S4,D9S4,,6.4.19,Hemiptera,Miridae,,1,white
D9,S5,D9S5,,6.4.19,Hemiptera,Miridae,,1,yellow
D8,S2,D8S2,,6.12.19,Hemiptera,Psyllidae,,1,yellow
D8,S3,D8S3,,6.12.19,Hemiptera,Psyllidae,,1,yellow
D10,S1,D10S1,,6.17.19,Hymenoptera,Aphelinidae,,1,yellow
D10,S1,D10S1,,6.17.19,Hymenoptera,Aphelinidae,,1,yellow
D10,S3,D10S3,,6.17.19,Hymenoptera,Aphelinidae,,1,yellow
D10,S4,D10S4,,6.17.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S1,D7S1,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S2,D7S2,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S2,D7S2,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S2,D7S2,,6.26.19,Hymenoptera,Aphelinidae,,1,blue
D7,S3,D7S3,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S3,D7S3,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S3,D7S3,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S4,D7S4,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S5,D7S5,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D7,S5,D7S5,,6.26.19,Hymenoptera,Aphelinidae,,1,yellow
D8,S2,D8S2,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Aphelinidae,,2,yellow
D8,S4,D8S4,,6.12.19,Hymenoptera,Aphelinidae,,1,yellow
D8,S5,D8S5,,6.12.19,Hymenoptera,Aphelinidae,,1,yellow
D9,S1,D9S1,,6.4.19,Hymenoptera,Aphelinidae,,1,yellow
D9,S2,D9S2,,6.4.19,Hymenoptera,Aphelinidae,,1,yellow
D9,S4,D9S4,,6.4.19,Hymenoptera,Aphelinidae,,1,yellow
D9,S4,D9S4,,6.4.19,Hymenoptera,Aphelinidae,,1,yellow
D9,S4,D9S4,,6.4.19,Hymenoptera,Aphelinidae,,1,yellow
D9,S5,D9S5,,6.4.19,Hymenoptera,Aphelinidae,,1,yellow
D10,S3,D10S3,,6.17.19,Hymenoptera,Braconidae,,1,white
D10,S3,D10S3,,6.17.19,Hymenoptera,Braconidae,,1,white
D10,S3,D10S3,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S4,D10S4,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S4,D10S4,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D10,S5,D10S5,,6.17.19,Hymenoptera,Braconidae,,1,yellow
D7,S4,D7S4,,6.26.19,Hymenoptera,Braconidae,,1,yellow
D8,S1,D8S1,,6.12.19,Hymenoptera,Braconidae,,1,yellow
D9,S1,D9S1,,6.4.19,Hymenoptera,Braconidae,,1,yellow
D9,S1,D9S1,,6.4.19,Hymenoptera,Braconidae,,1,yellow
D8,S3,D8S3,,9.11.19,Hymenoptera,Encyrtidae,,2,blue
D10,S1,D10S1,,6.17.19,Hymenoptera,Eulophidae,,1,yellow
D10,S2,D10S2,,6.17.19,Hymenoptera,Eulophidae,,1,white
D10,S1,D10S1,,6.17.19,Hymenoptera,Formicidae,,1,yellow
D10,S1,D10S1,,6.17.19,Hymenoptera,Formicidae,,1,white
D10,S2,D10S2,,6.17.19,Hymenoptera,Formicidae,,1,white
D10,S2,D10S2,,6.17.19,Hymenoptera,Formicidae,,1,yellow
D10,S2,D10S2,,6.17.19,Hymenoptera,Formicidae,,1,blue
D10,S2,D10S2,,6.17.19,Hymenoptera,Formicidae,,1,blue
D7,S1,D7S1,,6.26.19,Hymenoptera,Formicidae,,1,white
D7,S3,D7S3,,6.26.19,Hymenoptera,Formicidae,,1,white
D8,S3,D8S3,,9.11.19,Hymenoptera,Formicidae,,2,white
D8,S3,D8S3,,9.11.19,Hymenoptera,Formicidae,,2,blue
D8,S3,D8S3,,9.11.19,Hymenoptera,Formicidae,,2,blue
D8,S4,D8S4,,6.12.19,Hymenoptera,Formicidae,,1,yellow
D8,S5,D8S5,,6.12.19,Hymenoptera,Formicidae,,1,blue
D8,S5,D8S5,,6.12.19,Hymenoptera,Formicidae,,1,white
D8,S5,D8S5,,6.12.19,Hymenoptera,Formicidae,,1,white
D8,S5,D8S5,,6.12.19,Hymenoptera,Formicidae,,1,white
D8,S5,D8S5,,6.12.19,Hymenoptera,Formicidae,,1,white
D9,S1,D9S1,,6.4.19,Hymenoptera,Formicidae,,1,white
D8,S1,D8S1,,6.12.19,Hymenoptera,Halictidae,,1,yellow
D8,S2,D8S2,,6.12.19,Hymenoptera,Halictidae,,1,blue
D8,S2,D8S2,,6.12.19,Hymenoptera,Halictidae,,1,yellow
D8,S4,D8S4,,6.12.19,Hymenoptera,Halictidae,,1,blue
D10,S5,D10S5,,6.17.19,Hymenoptera,Mymaridae,,1,yellow
D8,S2,D8S2,,6.12.19,Hymenoptera,Sphecidae,,1,white
D8,S4,D8S4,,6.12.19,Hymenoptera,Sphecidae,,1,yellow
D10,S2,D10S2,,6.17.19,Lepidoptera,Noctuidae,,1,yellow
D8,S3,D8S3,,9.11.19,,,,2,yellow
D8,S3,D8S3,,9.11.19,,,,2,yellow
D8,S3,D8S3,,9.11.19,,,,2,yellow
D8,S3,D8S3,,9.11.19,,,,2,yellow
D8,S3,D8S3,,9.11.19,,,,2,yellow
D8,S3,D8S3,,9.11.19,,,,2,yellow
D7,S2,D7S2,,6.26.19,Neuroptera,Hemerobiidae,,1,blue
D10,S4,D10S4,,6.17.19,Thysanoptera,Thripidae,,1,yellow
